項目,名前,ひらがな
オス,BOURBON,ブルボン
オス,BOWLER,ボ－ラ－
オス,BOXER,ボクサ－
オス,BOY,ボ－イ
オス,BOYD,ボイド
オス,BRAD,ブラッド
オス,BRADLEY,ブラッドレ－
オス,BRAGG,ブラッグ
オス,BRAGI,ブラ－ギ
オス,BRAHMAN,ブラ－マン
オス,BRAHMIN,ブラ－ミン
オス,BRAHMS,ブラ－ムス
オス,BUM,バム
オス,BRAMANTE,ブラマンテ
オス,BRANT,ブラント
オス,BRAUDEL,ブロ－デル
オス,BRAVADO,ブラウ゛ァド
オス,BRAVERY,ブレイバリ－
オス,BRAVES,ブレ－ブス
オス,BRAVO,ブラウ゛ォ－
オス,BREAD,ブレッド
オス,BREMEN,ブレ－メン
オス,BREZHNEV,ブレジネフ
オス,BRIAREUS,ブライアリアス
オス,BRIDESMAN,ブライズマン
オス,BRIGADIER,ブリガディア
オス,BRIGHT,ブライト
オス,BRINNO,ブリンノ
オス,BRONSON,ブロンソン
オス,BRONZE,ブロンズ
オス,BROWDER,ブラウダ－
オス,BRUCE,ブル－ス
オス,BRUNO,ブル－ノ
オス,BRUTUS,ブル－タス
オス,BRYAN,ブライアン
オス,BRYNNER,ブリンナ－
オス,BILDER,ビルダー
オス,BUDWEISER,バドワイザ－
オス,BUFFALLO,バッファロ－
オス,BUFFON,ビュフォン
オス,BUGGO,ブッゴ－
メス,BAB,バブ
メス,BABEL,バベル
メス,BABETTE,バベット
メス,BACCHANT,バカント
メス,BALAS,バラス
メス,BALDA,バルダ
メス,BALLERINA,バレリ－ナ
メス,BALLET,バレエ
メス,BANAL,バナル
メス,BANANA,バナ－ナ
メス,BANGLE,バングル
メス,BARBARA,バ－バラ
メス,BARBERINI,バルベリ－ニ
メス,BARBERRY,バ－ベリ－
メス,BARBRA,バ－ブラ
メス,BARONE,バロ－ネ
メス,BARONESS,バロネス
メス,BARRY,バリ－
メス,BARZANI,バルザ－ニ－
メス,BATON,バトン
メス,BAVAROIS,ババロア
メス,BAZAINE,バゼ－ヌ
メス,BEATRICE,ベアトリ－チェ
メス,BEAUTICIAN,ビュ－ティシャン
メス,BEAUTY,ビュ－ティ－
メス,BEBE,ベベ
メス,BEDFELLOW,ベッドフェロ－
メス,BEEHIVE,ビ－ハイウ゛
メス,BEGONIA,ベゴニア
メス,BEGUM,ビ－ガム
メス,BELAMI,ベラ－ミ
メス,BELCHER,ベルチャ－
メス,BELLA,ベラ
メス,BELLADONNA,ベラドンナ
メス,BELLE,ベル
メス,BELLINI,ベリ－ニ
メス,BELLONA,ベロウナ
メス,BELOVED,ビラウ゛ィド
メス,BERNA,ベルナ
メス,BERRY,ベリ－
メス,BERTA,ベルタ
メス,BERTHA,バ－サ
メス,BERTHEID,ベルトハイト
メス,BESS,ベス
メス,BESSIE,ベッシ－
メス,BESTLA,ベストラ
メス,BETSY,ベッツィ
メス,BETTY,ベティ
メス,BEULAH,ビュ－ラ－
メス,BEVY,ベウ゛ィ
メス,BIANCA,ビアンカ
メス,BIDDY,ビディ
メス,BIERCE,ビア－ス
メス,BIFFIN,ビフィン
メス,BIJOU,ビ－ジュ－
メス,BIKINI,ビキニ
メス,BINARY,バイナリ－
メス,BINDWEED,バインドウィ－ド
メス,BINE,バイン
メス,BIRDIE,バ－ディ
メス,BISSET,ビセット
メス,BISSULA,ビスラ
メス,BIZET,ビゼット
メス,BLAIR,ブレア－
メス,BLANKA,ブランカ
メス,BLESS,ブレス
メス,BLISS,ブリス
メス,BLONDE,ブロンド
メス,BLONDY,ブロンディ
メス,BLOOM,ブル－ム
メス,BLOSSOM,ブロッサム
メス,BLOUSE,ブラウス
メス,BLUEBERRY,ブル－ベリ－
メス,BLUEBOTTLE,ブル－ボトル
メス,BLUNES,ブルネス
メス,BONBON,ボンボン
メス,BONITA,ボニ－タ
メス,BONNE,ボン
メス,BONNET,ボネット
メス,BONNY,ボニ－
メス,BOREL,ボレル
メス,BOUGHPOT,ボウポット
メス,BOUQUET,ブ－ケ
メス,BRACELET,ブレスレット
メス,BRACKEN,ブラッケン
メス,BRANLY,ブランリ－
メス,BREEZE,ブリ－ズ
メス,BRENDA,ブレンダ
メス,BRIDE,ブライド
メス,BRIGHTNESS,ブライトニス
メス,BRIGITTE,ブリジット
メス,BRILLIANCE,ブリリアンス
メス,BRITANNIA,ブリタニア
メス,BROCCOLI,ブロッコリ－
メス,BROCHE,ブロウシェイ
メス,BRONNEN,ブロンネン
メス,BRONTE,ブロンテ
メス,BROOCH,ブロ－チ
メス,BROOKE,ブルック
メス,BROWNIE,ブロ－ニ－
メス,BROWSE,ブラウズ
メス,BRUGA,ブルガ
メス,BRUNETTE,ブル－ネット
メス,BRUNHILD,ブルンヒルド
メス,BRUNI,ブル－ニ
メス,BUGGY,バギ－
メス,BUNNY,バニィ
メス,BURETTE,ビュレット
メス,BURNET,バ－ネット
メス,BUTTER,バタ－
メス,BUTTERFLY,バタフライ
メス,BUXOM,バクサム
オス,CAB,キャブ
オス,CABBY,キャビ－
オス,CABIN,キャビン
オス,CABMAN,キャブマン
オス,CACIQUE,カシ－ク
オス,CADET,カデット
オス,CADI,ケイディ
オス,CADILLAC,キャデラック
オス,CADMEAN,カドミアン
オス,CADMUS,カドマス
オス,CADRE,カドリ
オス,CADUCEUS,カデュ－シアス
オス,CAESAR,シ－ザ－
オス,CALAMUS,カラマス
オス,CALCITE,カルサイト
オス,CALENDER,カレンダ－
オス,CALIBAN,カリバン
オス,CALICO,キャリコ
オス,CALIFORNIA,カリフォルニア
オス,CALIPH,キャリフ
オス,CALVIN,キャルビン
オス,CALYPSO,カリプソ
オス,CAMEL,キャメル
オス,CYRUS,サイラス
オス,CAMELRY,キャメルリ－
オス,CAMPAIGNER,キャンペイナ－
オス,CAMPER,キャンパ－
オス,CAMPFIRE,キャンプファイア
オス,CAMPHOR,キャンファ
オス,CAMPUS,キャンパス
オス,CANAAN,ケイナン
オス,CANDIDATE,キャンディデイト
オス,CANDLE,キャンドル
オス,CANDOR,キャンダ－
オス,CANE,ケイン
オス,CANIS,ケイニス
オス,CANNON,キャノン
オス,CYCLOPS,サイクロプス
オス,CANTOR,キャンタ－
オス,CANYON,キャニオン
オス,CAPACITY,キャパシティ
オス,CAPITAL,キャピタル
オス,CAPITOL,キャピトル
オス,CAPONE,カポネ
オス,CAPRICE,カプリス
オス,CAPTAIN,キャプテン
オス,CAPTOR,キャプタ－
オス,CAPUCHON,カプション
オス,CARAVAN,キャラバン
オス,CUSTOM,カスタム
オス,CARDIGAN,カ－ディガン
オス,CAREER,キャリア
オス,CARETAKER,ケアティカ－
オス,CARIB,カリブ
オス,CARINA,カリ－ナ
オス,CARIOLE,キャリオウル
オス,CARL,カ－ル
オス,CARLOS,カルロス
オス,CARLYLE,カ－ライル
オス,CURTIS,カーティス
オス,CARNEGIE,カ－ネギ－
オス,CARNIVAL,カ－ニバル
オス,CAROUSER,カロウザ－
オス,CARPENTER,カ－ペンタ－
オス,CARTEL,カ－テル
オス,CARTER,カ－タ－
オス,CARVER,カ－ウ゛ァ－
オス,CASABLANCA,カサブランカ
オス,CASANOVA,カサノバ
オス,CUPID,キューピッド
オス,CUORE,クオレ
オス,CASINO,カジノ
オス,CASQUE,カスク
オス,CASTALY,カスタリ－
オス,CASTE,カ－スト
オス,CASTELLAN,キャステラン
オス,CASTER,キャスタ－
オス,CASTLE,キャッスル
オス,CASTOR,カスト－ル
オス,CATCHER,キャッチャ－
オス,CATERAN,キャテラン
オス,CATERER,ケイタラ－
オス,CATO,ケイトウ
オス,CAVALRY,キャバルリ－
オス,CAVEMAN,ケイブマン
オス,CAVALRY,キャバルリ－
オス,CAVEMAN,ケイブマン
オス,CAXTON,カックストン
オス,CEDRIC,セドリック
オス,CEFIRO,セフィ－ロ
オス,CELEBRANT,セレブラント
オス,CELEBRITY,セレブリティ－
オス,CELSIUS,セルシアス
オス,CENSOR,センサ－
オス,CERBERUS,サ－バラス
オス,CERICA,セリカ
オス,CERVANTES,セルバンテス
オス,CETUS,シ－タス
オス,CEZANNE,セザンヌ
オス,CRUSOE,クルーソウ
オス,CHAFFER,チャファ－
オス,CHAGALL,シャガ－ル
オス,CREEK,クリ－ク
オス,CHAMBERLAIN,チェンバレン
